"Municipality","Cases","Population","Year"
"Hällefors",0,8025,2000
"Härjedalen",0,11415,2000
"Härnösand",0,25493,2000
"Härryda",0,30276,2000
"Hässleholm",0,48580,2000
"Höganäs",0,22639,2000
"Högsby",0,6380,2000
"Hörby",0,13742,2000
"Höör",1,13976,2000
"Jokkmokk",0,6019,2000
"Järfälla",2,60471,2000
"Jönköping",1,117095,2000
"Kalix",1,17995,2000
"Kalmar",0,59308,2000
"Karlsborg",0,7100,2000
"Karlshamn",0,30741,2000
"Karlskoga",0,31293,2000
"Karlskrona",0,60564,2000
"Karlstad",1,80323,2000
"Katrineholm",0,32370,2000
"Kil",0,11912,2000
"Kinda",0,10129,2000
"Kiruna",0,24314,2000
"Klippan",0,15541,2000
"Kramfors",2,21382,2000
"Kristianstad",1,74161,2000
"Kristinehamn",0,24297,2000
"Krokom",0,14154,2000
"Kumla",0,18983,2000
"Kungsbacka",2,65113,2000
"Kungsör",0,8148,2000
"Kungälv",0,37191,2000
"Kävlinge",0,24583,2000
"Köping",1,24763,2000
"Laholm",0,22747,2000
"Landskrona",0,37728,2000
"Laxå",1,6699,2000
"Lekeberg",1,7008,2000
"Leksand",0,15240,2000
"Lerum",1,35214,2000
"Lessebo",0,8365,2000
"Lidingö",0,40584,2000
"Lidköping",0,36802,2000
"Lilla Edet",0,12944,2000
"Lindesberg",0,23525,2000
"Linköping",3,133168,2000
"Ljungby",0,27078,2000
"Ljusdal",0,20006,2000
"Ljusnarsberg",0,5651,2000
"Lomma",0,18044,2000
"Ludvika",0,26450,2000
"Luleå",2,71652,2000
"Lund",6,98948,2000
"Lycksele",0,13058,2000
"Lysekil",0,14848,2000
"Malmö",6,259579,2000
"Malung-Sälen",0,10799,2000
"Malå",0,3610,2000
"Mariestad",0,23800,2000
"Mark",0,32951,2000
"Markaryd",0,9798,2000
"Mellerud",0,9902,2000
"Mjölby",1,25157,2000
"Mora",0,20132,2000
"Motala",0,42175,2000
"Mullsjö",0,7071,2000
"Munkedal",0,10532,2000
"Munkfors",0,4162,2000
"Mölndal",0,56137,2000
"Mönsterås",0,13227,2000
"Mörbylånga",0,13442,2000
"Nacka",1,74974,2000
"Nora",0,10465,2000
"Norberg",0,5939,2000
"Nordanstig",0,10282,2000
"Nordmaling",0,7663,2000
"Norrköping",3,122199,2000
"Norrtälje",0,52611,2000
"Norsjö",0,4689,2000
"Nybro",0,19785,2000
"Nykvarn",0,8052,2000
"Nyköping",0,49063,2000
"Nynäshamn",2,23965,2000
"Nässjö",0,29495,2000
"Ockelbo",0,6189,2000
"Olofström",0,14005,2000
"Orsa",0,6986,2000
"Orust",0,15023,2000
"Osby",1,12742,2000
"Oskarshamn",0,26349,2000
"Ovanåker",0,12491,2000
"Oxelösund",0,10866,2000
"Pajala",0,7480,2000
"Partille",0,33124,2000
"Perstorp",0,6745,2000
"Piteå",2,40363,2000
"Ragunda",0,6313,2000
"Robertsfors",0,7307,2000
"Ronneby",0,28634,2000
"Rättvik",0,10847,2000
"Sala",0,21548,2000
"Salem",0,13766,2000
"Sandviken",0,37064,2000
"Sigtuna",0,35001,2000
"Simrishamn",0,19303,2000
"Sjöbo",1,16648,2000
"Skara",0,18305,2000
"Skellefteå",2,72476,2000
"Skinnskatteberg",0,4855,2000
"Skurup",0,13714,2000
"Skövde",2,49313,2000
"Smedjebacken",0,11598,2000
"Sollefteå",0,21978,2000
"Sollentuna",2,58048,2000
"Solna",0,56605,2000
"Sorsele",0,3195,2000
"Sotenäs",0,9621,2000
"Staffanstorp",0,19815,2000
"Stenungsund",0,20679,2000
"Stockholm",10,750348,2000
"Storfors",0,4725,2000
"Storuman",0,6934,2000
"Strängnäs",1,29610,2000
"Strömstad",0,11102,2000
"Strömsund",0,13938,2000
"Sundbyberg",0,33868,2000
"Sundsvall",0,93126,2000
"Sunne",0,13619,2000
"Surahammar",0,10340,2000
"Svalöv",0,12562,2000
"Svedala",1,17905,2000
"Svenljunga",0,10609,2000
"Säffle",0,16639,2000
"Säter",0,11259,2000
"Sävsjö",0,11049,2000
"Söderhamn",0,27675,2000
"Söderköping",0,13936,2000
"Södertälje",7,77882,2000
"Sölvesborg",0,16448,2000
"Tanum",0,12105,2000
"Tibro",0,10576,2000
"Tidaholm",0,12694,2000
"Tierp",0,19888,2000
"Timrå",0,17988,2000
"Tingsryd",0,13371,2000
"Tjörn",0,14733,2000
"Tomelilla",0,12372,2000
"Torsby",0,13725,2000
"Torsås",0,7468,2000
"Tranemo",0,12037,2000
"Tranås",0,17686,2000
"Trelleborg",0,38429,2000
"Trollhättan",0,52891,2000
"Trosa",0,10197,2000
"Tyresö",1,39071,2000
"Täby",0,60197,2000
"Töreboda",0,9642,2000
"Uddevalla",1,48971,2000
"Ulricehamn",0,22284,2000
"Umeå",5,104512,2000
"Upplands-Bro",2,20878,2000
"Upplands Väsby",1,37576,2000
"Uppsala",3,189569,2000
"Uppvidinge",0,9807,2000
"Vadstena",0,7668,2000
"Vaggeryd",0,12738,2000
"Valdemarsvik",0,8337,2000
"Vallentuna",0,25228,2000
"Vansbro",0,7291,2000
"Vara",0,16044,2000
"Varberg",0,52648,2000
"Vaxholm",0,9286,2000
"Vellinge",0,30516,2000
"Vetlanda",0,26624,2000
"Vilhelmina",0,7918,2000
"Vimmerby",0,15776,2000
"Vindeln",0,6074,2000
"Vingåker",0,9186,2000
"Vårgårda",0,10714,2000
"Vänersborg",0,36589,2000
"Vännäs",1,8532,2000
"Värmdö",0,31260,2000
"Värnamo",0,32256,2000
"Västervik",0,37433,2000
"Västerås",3,126328,2000
"Växjö",4,73901,2000
"Ydre",0,4131,2000
"Ystad",0,26182,2000
"Åmål",0,12840,2000
"Ånge",0,11234,2000
"Åre",0,9745,2000
"Årjäng",0,9790,2000
"Åsele",0,3624,2000
"Åstorp",1,12873,2000
"Åtvidaberg",0,11946,2000
"Älmhult",0,15403,2000
"Älvdalen",0,7718,2000
"Älvkarleby",0,8932,2000
"Älvsbyn",0,8947,2000
"Ängelholm",0,37312,2000
"Öckerö",0,11827,2000
"Ödeshög",1,5688,2000
"Örebro",3,124207,2000
"Örkelljunga",0,9428,2000
"Örnsköldsvik",0,55702,2000
"Östersund",0,58249,2000
"Österåker",2,34427,2000
"Östhammar",0,21733,2000
"Östra Göinge",0,14215,2000
"Överkalix",0,4206,2000
"Övertorneå",0,5602,2000
"Ale",1,25593,2001
"Alingsås",0,35257,2001
"Alvesta",0,18957,2001
"Aneby",0,6686,2001
"Arboga",0,13616,2001
"Arjeplog",0,3313,2001
"Arvidsjaur",0,7129,2001
"Arvika",0,26192,2001
"Askersund",0,11483,2001
"Avesta",1,22330,2001
"Bengtsfors",0,10685,2001
"Berg",0,8053,2001
"Bjurholm",0,2639,2001
"Bjuv",0,13659,2001
"Boden",0,28380,2001
"Bollebygd",1,7890,2001
"Bollnäs",0,26455,2001
"Borgholm",0,11228,2001
"Borlänge",0,46962,2001
"Borås",0,97347,2001
"Botkyrka",7,74151,2001
"Boxholm",0,5327,2001
"Bromölla",0,11992,2001
"Bräcke",0,7400,2001
"Burlöv",0,15264,2001
"Båstad",0,14011,2001
"Dals-Ed",0,5040,2001
"Danderyd",0,29632,2001
"Degerfors",0,10433,2001
"Dorotea",0,3294,2001
"Eda",0,8649,2001
"Ekerö",0,22626,2001
"Eksjö",0,16812,2001
"Emmaboda",0,9750,2001
"Enköping",0,37181,2001
"Eskilstuna",2,89135,2001
"Eslöv",0,28703,2001
"Essunga",0,5818,2001
"Fagersta",0,12270,2001
"Falkenberg",1,38720,2001
"Falköping",0,30921,2001
"Falun",0,54601,2001
"Filipstad",0,11389,2001
"Finspång",0,21279,2001
"Flen",0,16411,2001
"Forshaga",0,11485,2001
"Färgelanda",0,6956,2001
"Gagnef",0,10050,2001
"Gislaved",1,30208,2001
"Gnesta",1,9748,2001
"Gnosjö",0,10191,2001
"Gotland",0,57412,2001
"Grums",0,9418,2001
"Grästorp",0,5900,2001
"Gullspång",0,5866,2001
"Gällivare",0,19680,2001
"Gävle",3,91233,2001
"Göteborg",22,471267,2001
"Götene",0,12970,2001
"Habo",0,9471,2001
"Hagfors",1,13923,2001
