Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Vimmerby	0	0	15297	0	0	15287	0	0	15403	1	0.0649477170877444	15397	0	0	15473	0	0	15538	1	0.0643045463314256	15551	0	0	15608	0	0	15588	0	0	15613	0	0	15596	0	0	15621	0	0	15628	0	0	15644	0	0	15776	0	0	15788	0	0	15779
Vindeln	1	0.185770016719302	5383	0	0	5344	0	0	5359	0	0	5434	0	0	5507	0	0	5519	0	0	5613	0	0	5640	0	0	5665	0	0	5752	0	0	5773	0	0	5885	0	0	5960	0	0	6039	0	0	6074	0	0	6142	1	0.160128102481986	6245
Vingåker	0	0	8919	0	0	8835	0	0	8775	0	0	8824	0	0	8893	0	0	8911	1	0.111111111111111	9000	1	0.110107905747633	9082	0	0	9212	0	0	9269	0	0	9178	0	0	9179	0	0	9181	0	0	9156	0	0	9186	0	0	9335	0	0	9542
Vårgårda	0	0	11089	0	0	11065	0	0	11030	0	0	10994	0	0	10943	0	0	10967	0	0	10976	0	0	10988	0	0	10896	1	0.0929713648196356	10756	0	0	10680	0	0	10692	0	0	10668	0	0	10677	0	0	10714	0	0	10736	0	0	10705
Vänersborg	1	0.0263921879123779	37890	0	0	37369	0	0	36968	0	0	36962	0	0	36857	5	0.135607930351767	36871	0	0	36991	1	0.0270716586805274	36939	1	0.0270102368797774	37023	0	0	36951	0	0	37105	1	0.0269534513894504	37101	1	0.0270087778528022	37025	0	0	36795	0	0	36589	1	0.0273186723125256	36605	1	0.0274077728443787	36486
Vännäs	0	0	8616	0	0	8583	0	0	8522	0	0	8465	0	0	8414	0	0	8357	0	0	8357	0	0	8351	1	0.118539592223803	8436	0	0	8412	0	0	8525	0	0	8513	0	0	8479	0	0	8449	1	0.117205813408345	8532	0	0	8584	0	0	8574
Värmdö	0	0	40541	0	0	39784	0	0	39387	0	0	38894	0	0	38301	0	0	37756	0	0	37376	0	0	36870	0	0	35803	0	0	34933	0	0	34029	1	0.0301804792660107	33134	0	0	32664	0	0	32096	0	0	31260	0	0	30319	0	0	29396
Värnamo	1	0.0299994000119998	33334	0	0	33155	1	0.0302920150248395	33012	2	0.0607275156373353	32934	0	0	32833	0	0	32753	0	0	32823	0	0	32930	1	0.0304497426996742	32841	1	0.0305810397553517	32700	0	0	32464	0	0	32350	1	0.03100582909587	32252	0	0	32275	0	0	32256	0	0	31970	0	0	31983
Västervik	0	0	35920	0	0	35867	0	0	35892	0	0	36015	1	0.0276197315362095	36206	0	0	36290	0	0	36356	2	0.0548576444127489	36458	1	0.0274725274725275	36400	3	0.0821805232159978	36505	1	0.0273478094404638	36566	0	0	36768	0	0	36913	1	0.0270592055417253	36956	0	0	37433	4	0.105457421566043	37930	1	0.0260695012904403	38359
Västerås	3	0.0208765361651195	143702	1	0.00703576278222203	142131	6	0.0427049302842013	140499	2	0.014418675067948	138709	5	0.0364412894385855	137207	5	0.0367820150659134	135936	6	0.0445487214516943	134684	6	0.0448671931083991	133728	5	0.0376166114956365	132920	0	0	131934	2	0.0152655441403209	131014	0	0	129987	1	0.00775783153093047	128902	3	0.0234743620842104	127799	3	0.0237477043885758	126328	1	0.0079723836629914	125433	3	0.0240423144734733	124780
Växjö	3	0.034494653328734	86970	1	0.0116520239565613	85822	2	0.0235849056603774	84800	3	0.0358380121849241	83710	4	0.0481898680802361	83005	3	0.0365751069821879	82023	6	0.0740064632311222	81074	2	0.0251376285161258	79562	3	0.0382297095816395	78473	1	0.0129260757726562	77363	3	0.0390854016025015	76755	3	0.0395527897901065	75848	6	0.0799616184231569	75036	7	0.0944898895818147	74082	4	0.0541264664889514	73901	2	0.0271112918530568	73770	4	0.0542755570029037	73698
Ydre	0	0	3660	0	0	3617	0	0	3612	0	0	3666	0	0	3672	0	0	3672	0	0	3726	0	0	3760	0	0	3822	0	0	3866	0	0	3894	0	0	3943	0	0	4004	0	0	4048	0	0	4131	0	0	4152	0	0	4178
Ystad	0	0	28771	0	0	28623	0	0	28558	1	0.0351778238998136	28427	0	0	28338	1	0.0355757942296062	28109	1	0.035880875493362	27870	0	0	27719	1	0.0364990145266078	27398	0	0	27120	0	0	26898	1	0.037516413430876	26655	0	0	26383	0	0	26235	0	0	26182	0	0	26185	0	0	26058
Åmål	0	0	12326	1	0.0817728350641917	12229	0	0	12211	0	0	12226	0	0	12295	1	0.0804246421103426	12434	0	0	12545	0	0	12589	0	0	12716	0	0	12737	0	0	12823	0	0	12854	0	0	12829	0	0	12770	0	0	12840	0	0	12908	0	0	13041
Ånge	0	0	9484	0	0	9548	0	0	9639	1	0.101636345157028	9839	0	0	10053	0	0	10148	0	0	10323	0	0	10442	0	0	10604	0	0	10692	0	0	10821	0	0	10897	0	0	10948	0	0	10997	0	0	11234	0	0	11368	0	0	11497
Åre	0	0	10555	0	0	10420	0	0	10406	0	0	10259	0	0	10274	0	0	10278	0	0	10259	0	0	10127	0	0	10021	0	0	9966	0	0	9821	0	0	9692	0	0	9692	0	0	9607	0	0	9745	0	0	9754	0	0	9838
Årjäng	0	0	9804	0	0	9953	0	0	9864	0	0	9827	0	0	9855	0	0	9915	1	0.10048231511254	9952	0	0	9877	0	0	9821	0	0	9800	0	0	9799	0	0	9737	0	0	9743	0	0	9803	0	0	9790	0	0	9784	0	0	9826
Åsele	0	0	2838	0	0	2875	0	0	2958	0	0	3007	0	0	3039	1	0.319182891797	3133	0	0	3180	0	0	3265	0	0	3271	0	0	3322	0	0	3375	0	0	3410	0	0	3499	0	0	3563	0	0	3624	0	0	3710	0	0	3789
Åstorp	0	0	15061	0	0	14927	0	0	14806	0	0	14789	0	0	14737	0	0	14667	0	0	14533	0	0	14233	1	0.072020165646381	13885	0	0	13541	0	0	13389	0	0	13326	0	0	13150	1	0.0773395204949729	12930	1	0.0776819700147596	12873	1	0.0781311039924994	12799	0	0	12908
Åtvidaberg	0	0	11472	0	0	11460	0	0	11446	0	0	11517	0	0	11504	0	0	11498	0	0	11543	0	0	11658	0	0	11775	0	0	11723	0	0	11817	0	0	11818	0	0	11887	0	0	11894	0	0	11946	0	0	12055	0	0	12215
Älmhult	1	0.0628614533568016	15908	3	0.190367409099562	15759	0	0	15724	0	0	15629	0	0	15603	2	0.128452151573539	15570	0	0	15411	0	0	15378	1	0.0650702758979698	15368	0	0	15346	0	0	15421	1	0.0647794260542852	15437	0	0	15444	0	0	15442	0	0	15403	0	0	15448	0	0	15569
Älvdalen	0	0	7052	0	0	7096	0	0	7139	0	0	7184	0	0	7207	0	0	7288	0	0	7287	0	0	7362	1	0.134789055128724	7419	0	0	7445	0	0	7515	0	0	7570	0	0	7617	0	0	7652	0	0	7718	0	0	7804	0	0	7932
Älvkarleby	0	0	9169	0	0	9132	0	0	9059	0	0	9089	0	0	9103	0	0	9068	0	0	9064	0	0	9095	0	0	9110	0	0	9080	1	0.110607233713085	9041	0	0	9028	0	0	8970	0	0	8955	0	0	8932	0	0	8972	0	0	9047
Älvsbyn	0	0	8171	0	0	8168	0	0	8200	0	0	8253	0	0	8335	1	0.119232144986288	8387	0	0	8465	0	0	8545	0	0	8653	0	0	8655	0	0	8775	0	0	8838	0	0	8835	0	0	8892	0	0	8947	0	0	9060	0	0	9101
Ängelholm	1	0.0248576897263168	40229	0	0	39866	0	0	39742	2	0.0504719123807601	39626	2	0.0507691526628421	39394	0	0	39083	1	0.0257373758171617	38854	1	0.0258071176030349	38749	0	0	38682	1	0.026077659269304	38347	0	0	38140	1	0.0264137985683721	37859	1	0.0265209780936721	37706	1	0.026663111585122	37505	0	0	37312	1	0.0269876396610352	37054	0	0	36921
Öckerö	1	0.0790826413602214	12645	1	0.0795291872117067	12574	0	0	12539	0	0	12487	0	0	12449	0	0	12292	2	0.163265306122449	12250	1	0.0815926892950392	12256	0	0	12229	0	0	12231	0	0	12147	1	0.0827746047512623	12081	1	0.0834654870211168	11981	1	0.0841963458785889	11877	0	0	11827	0	0	11781	1	0.0855285665412248	11692
Ödeshög	0	0	5240	0	0	5174	0	0	5200	0	0	5245	0	0	5284	0	0	5314	0	0	5350	0	0	5371	0	0	5433	1	0.181290790427846	5516	0	0	5520	0	0	5528	0	0	5566	0	0	5621	1	0.175808720112518	5688	0	0	5727	0	0	5767
Örebro	15	0.105176064732362	142618	7	0.0497869828377158	140599	5	0.0359836490298808	138952	1	0.00729282896128237	137121	5	0.0369112653181751	135460	2	0.0149247048639613	134006	4	0.030239573017229	132277	2	0.0153340131412493	130429	5	0.0387666017972197	128977	0	0	127733	1	0.00787513190845947	126982	2	0.0158368174331686	126288	3	0.0239005736137667	125520	2	0.0160162725328934	124873	3	0.0241532280789327	124207	2	0.0161939386087787	123503	2	0.0163077600476187	122641
Örkelljunga	0	0	9733	0	0	9653	0	0	9655	1	0.103487529752665	9663	0	0	9631	0	0	9639	0	0	9592	0	0	9577	0	0	9529	0	0	9553	0	0	9500	0	0	9483	0	0	9419	0	0	9414	0	0	9428	1	0.10612331529237	9423	0	0	9499
Örnsköldsvik	0	0	55248	0	0	54986	0	0	55008	1	0.0182049881667577	54930	0	0	55073	0	0	55128	0	0	55387	1	0.0180884161782794	55284	0	0	55243	0	0	54943	0	0	54945	0	0	54950	0	0	55047	1	0.0180622787370855	55364	0	0	55702	0	0	56167	0	0	56658
Östersund	0	0	60495	1	0.0166788978584295	59956	0	0	59485	0	0	59373	1	0.0168304833714824	59416	0	0	59136	0	0	58914	0	0	58686	1	0.0170697984056808	58583	1	0.0171150818100911	58428	1	0.017106005918678	58459	1	0.0171347303850174	58361	1	0.017195130339088	58156	0	0	58361	0	0	58249	1	0.0171271002106633	58387	1	0.0170436146097864	58673
Österåker	0	0	41180	0	0	40495	0	0	40269	1	0.0251306795335746	39792	0	0	39521	0	0	39173	1	0.0258264462809917	38720	0	0	38286	2	0.0527997043216558	37879	3	0.0803514034711806	37336	0	0	36867	0	0	36183	1	0.0280638733758033	35633	1	0.0284835365158938	35108	2	0.0580939378975804	34427	0	0	33861	0	0	33396
Östhammar	0	0	21374	0	0	21352	0	0	21262	2	0.0935147519521204	21387	1	0.0467880035558883	21373	0	0	21391	0	0	21434	0	0	21421	0	0	21435	0	0	21608	0	0	21738	0	0	21741	1	0.0458148165116599	21827	0	0	21842	0	0	21733	0	0	21680	0	0	21921
Östra Göinge	0	0	13864	0	0	13687	0	0	13620	0	0	13603	0	0	13590	0	0	13526	0	0	13662	0	0	13828	0	0	13886	0	0	13991	0	0	13978	0	0	14047	0	0	14087	0	0	14108	0	0	14215	0	0	14322	0	0	14514
Överkalix	0	0	3409	0	0	3436	0	0	3497	0	0	3549	0	0	3611	0	0	3670	0	0	3715	0	0	3795	0	0	3859	0	0	3872	0	0	3933	0	0	3993	0	0	4058	0	0	4118	0	0	4206	0	0	4304	0	0	4366
Övertorneå	0	0	4711	0	0	4709	1	0.209555741827326	4772	0	0	4810	0	0	4812	0	0	4920	0	0	4972	0	0	5092	0	0	5168	0	0	5229	0	0	5244	0	0	5331	0	0	5391	0	0	5484	0	0	5602	0	0	5746	0	0	5868
