Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Gislaved	0	0	28737	0	0	28713	0	0	28732	0	0	28868	1	0.034351276149909	29111	0	0	29212	0	0	29380	0	0	29330	2	0.0681965424352985	29327	1	0.0339109498457052	29489	0	0	29750	0	0	29956	1	0.0333600213504137	29976	1	0.033103813559322	30208	0	0	30407	0	0	30408	0	0	30366
Gnesta	0	0	10513	0	0	10409	0	0	10442	0	0	10345	3	0.28957528957529	10360	0	0	10318	0	0	10179	0	0	10031	0	0	9981	0	0	9958	1	0.100654252642174	9935	0	0	10002	0	0	9813	1	0.102585145670907	9748	0	0	9768	0	0	9743	0	0	9653
Gnosjö	0	0	9509	0	0	9406	0	0	9354	0	0	9400	1	0.104755918709407	9546	0	0	9536	0	0	9658	0	0	9657	0	0	9598	0	0	9753	0	0	9810	0	0	9926	0	0	9997	0	0	10191	0	0	10280	0	0	10266	0	0	10355
Gotland	1	0.0174657235175967	57255	1	0.0174944455135494	57161	1	0.0174699952831013	57241	0	0	57308	0	0	57269	4	0.0699044057251708	57221	1	0.0175426285874675	57004	0	0	57122	1	0.0174529207462869	57297	2	0.0347898691900918	57488	0	0	57661	0	0	57535	0	0	57381	0	0	57412	0	0	57313	2	0.0348262171762903	57428	0	0	57643
Grums	0	0	8958	0	0	8925	0	0	8939	0	0	9017	0	0	9091	0	0	9142	1	0.108108108108108	9250	0	0	9302	0	0	9332	0	0	9408	0	0	9423	0	0	9379	0	0	9312	0	0	9418	0	0	9551	0	0	9673	0	0	9825
Grästorp	0	0	5630	0	0	5641	0	0	5639	0	0	5674	0	0	5776	0	0	5857	0	0	5851	0	0	5831	0	0	5809	0	0	5762	0	0	5794	0	0	5835	2	0.341997264021888	5848	0	0	5900	0	0	5924	0	0	5970	0	0	5985
Gullspång	0	0	5240	0	0	5185	0	0	5221	0	0	5251	0	0	5291	0	0	5335	0	0	5371	0	0	5425	0	0	5506	0	0	5595	0	0	5653	0	0	5726	0	0	5765	0	0	5866	0	0	5911	0	0	5974	0	0	6119
Gällivare	0	0	18231	0	0	18339	0	0	18307	1	0.0545672814580378	18326	0	0	18425	1	0.0539578049964927	18533	0	0	18703	1	0.0530222693531283	18860	0	0	18959	0	0	19077	3	0.156217454696938	19204	2	0.103890706976261	19251	1	0.0514933058702369	19420	0	0	19680	0	0	20037	1	0.0487709715177526	20504	0	0	20987
Gävle	0	0	98314	2	0.0205685137191987	97236	2	0.0207965061869606	96170	0	0	95428	1	0.0105202251328178	95055	4	0.0423944378497541	94352	2	0.0213883155632078	93509	1	0.0107896979963531	92681	4	0.0432825484764543	92416	2	0.0216907976790846	92205	0	0	92081	0	0	91701	1	0.0109557824619834	91276	3	0.0328828384466147	91233	3	0.0330607656873333	90742	3	0.0331671291638567	90451	7	0.0776871427778703	90105
Göteborg	20	0.0369586709661921	541145	21	0.0393796024910411	533271	25	0.0475204765733555	526089	23	0.0441989799644102	520374	22	0.042822301075813	513751	22	0.0433642796601817	507330	30	0.0599763693104917	500197	28	0.0567373587138451	493502	48	0.0980077875354513	489757	39	0.080421988608947	484942	17	0.0353129349203382	481410	16	0.033468952317202	478055	15	0.0315842003196321	474921	22	0.0466826660894992	471267	12	0.0256964817233774	466990	12	0.0259476290353969	462470	6	0.0130550291235941	459593
Götene	0	0	13080	0	0	13028	0	0	13092	0	0	13134	0	0	13223	0	0	13186	0	0	13085	0	0	13056	0	0	12959	0	0	12879	0	0	12950	1	0.0769704433497537	12992	1	0.0770238003543095	12983	0	0	12970	0	0	13016	0	0	13095	0	0	13255
Habo	0	0	11110	0	0	10975	0	0	10879	0	0	10828	0	0	10741	0	0	10674	0	0	10526	0	0	10375	0	0	10122	0	0	9842	0	0	9758	0	0	9568	0	0	9584	0	0	9471	0	0	9578	0	0	9587	0	0	9577
Hagfors	0	0	11921	0	0	12071	0	0	12170	0	0	12282	0	0	12480	0	0	12636	0	0	12804	0	0	12993	0	0	13127	0	0	13337	0	0	13496	2	0.146541617819461	13648	0	0	13797	1	0.0718236012353659	13923	1	0.0711288142826659	14059	0	0	14400	0	0	14562
Hallsberg	0	0	15315	1	0.0655007532586625	15267	0	0	15283	1	0.0655823714585519	15248	0	0	15275	0	0	15235	0	0	15256	1	0.0654964631909877	15268	0	0	15287	1	0.0652954619653934	15315	0	0	15401	0	0	15589	0	0	15651	0	0	15627	0	0	15685	0	0	15775	0	0	15951
