"Municipality" "Cases" "Population" "Year"
"643" "Haninge" 3 69644 2000
"644" "Haparanda" 0 10412 2000
"645" "Heby" 0 13653 2000
"646" "Hedemora" 1 15857 2000
"647" "Helsingborg" 9 117737 2000
"648" "Herrljunga" 0 9447 2000
"649" "Hjo" 0 8787 2000
"650" "Hofors" 0 10624 2000
"651" "Huddinge" 5 84535 2000
"652" "Hudiksvall" 0 37454 2000
"653" "Hultsfred" 0 15163 2000
"654" "Hylte" 0 10479 2000
"655" "Håbo" 0 17468 2000
"656" "Hällefors" 0 8025 2000
"657" "Härjedalen" 0 11415 2000
"658" "Härnösand" 0 25493 2000
"659" "Härryda" 0 30276 2000
"660" "Hässleholm" 0 48580 2000
"661" "Höganäs" 0 22639 2000
"662" "Högsby" 0 6380 2000
"663" "Hörby" 0 13742 2000
"664" "Höör" 1 13976 2000
"665" "Jokkmokk" 0 6019 2000
"666" "Järfälla" 2 60471 2000
"667" "Jönköping" 1 117095 2000
"668" "Kalix" 1 17995 2000
"669" "Kalmar" 0 59308 2000
"670" "Karlsborg" 0 7100 2000
"671" "Karlshamn" 0 30741 2000
"672" "Karlskoga" 0 31293 2000
"673" "Karlskrona" 0 60564 2000
"674" "Karlstad" 1 80323 2000
"675" "Katrineholm" 0 32370 2000
"676" "Kil" 0 11912 2000
"677" "Kinda" 0 10129 2000
"678" "Kiruna" 0 24314 2000
"679" "Klippan" 0 15541 2000
"680" "Kramfors" 2 21382 2000
"681" "Kristianstad" 1 74161 2000
"682" "Kristinehamn" 0 24297 2000
"683" "Krokom" 0 14154 2000
"684" "Kumla" 0 18983 2000
"685" "Kungsbacka" 2 65113 2000
"686" "Kungsör" 0 8148 2000
"687" "Kungälv" 0 37191 2000
"688" "Kävlinge" 0 24583 2000
"689" "Köping" 1 24763 2000
"690" "Laholm" 0 22747 2000
"691" "Landskrona" 0 37728 2000
"692" "Laxå" 1 6699 2000
"693" "Lekeberg" 1 7008 2000
"694" "Leksand" 0 15240 2000
"695" "Lerum" 1 35214 2000
"696" "Lessebo" 0 8365 2000
"697" "Lidingö" 0 40584 2000
"698" "Lidköping" 0 36802 2000
"699" "Lilla Edet" 0 12944 2000
"700" "Lindesberg" 0 23525 2000
"701" "Linköping" 3 133168 2000
"702" "Ljungby" 0 27078 2000
"703" "Ljusdal" 0 20006 2000
"704" "Ljusnarsberg" 0 5651 2000
"705" "Lomma" 0 18044 2000
"706" "Ludvika" 0 26450 2000
"707" "Luleå" 2 71652 2000
"708" "Lund" 6 98948 2000
"709" "Lycksele" 0 13058 2000
"710" "Lysekil" 0 14848 2000
"711" "Malmö" 6 259579 2000
"712" "Malung-Sälen" 0 10799 2000
"713" "Malå" 0 3610 2000
"714" "Mariestad" 0 23800 2000
"715" "Mark" 0 32951 2000
"716" "Markaryd" 0 9798 2000
"717" "Mellerud" 0 9902 2000
"718" "Mjölby" 1 25157 2000
"719" "Mora" 0 20132 2000
"720" "Motala" 0 42175 2000
"721" "Mullsjö" 0 7071 2000
"722" "Munkedal" 0 10532 2000
"723" "Munkfors" 0 4162 2000
"724" "Mölndal" 0 56137 2000
"725" "Mönsterås" 0 13227 2000
"726" "Mörbylånga" 0 13442 2000
"727" "Nacka" 1 74974 2000
"728" "Nora" 0 10465 2000
"729" "Norberg" 0 5939 2000
"730" "Nordanstig" 0 10282 2000
"731" "Nordmaling" 0 7663 2000
"732" "Norrköping" 3 122199 2000
