"Municipality" "Cases" "Population" "Year"
"2140" "Laxå" 0 6136 2005
"2141" "Lekeberg" 0 7081 2005
"2142" "Leksand" 1 15440 2005
"2143" "Lerum" 2 36506 2005
"2144" "Lessebo" 1 8127 2005
"2145" "Lidingö" 0 41892 2005
"2146" "Lidköping" 0 37380 2005
"2147" "Lilla Edet" 0 12889 2005
"2148" "Lindesberg" 1 23228 2005
"2149" "Linköping" 4 137636 2005
"2150" "Ljungby" 0 27093 2005
"2151" "Ljusdal" 0 19384 2005
"2152" "Ljusnarsberg" 0 5317 2005
"2153" "Lomma" 0 18854 2005
"2154" "Ludvika" 1 25537 2005
"2155" "Luleå" 5 72751 2005
"2156" "Lund" 4 102257 2005
"2157" "Lycksele" 0 12701 2005
"2158" "Lysekil" 0 14657 2005
"2159" "Malmö" 15 271271 2005
"2160" "Malung-Sälen" 0 10513 2005
"2161" "Malå" 0 3421 2005
"2162" "Mariestad" 0 23895 2005
"2163" "Mark" 0 33494 2005
"2164" "Markaryd" 0 9571 2005
"2165" "Mellerud" 0 9638 2005
"2166" "Mjölby" 0 25258 2005
"2167" "Mora" 0 20212 2005
"2168" "Motala" 3 41912 2005
"2169" "Mullsjö" 0 7087 2005
"2170" "Munkedal" 0 10284 2005
"2171" "Munkfors" 0 3995 2005
"2172" "Mölndal" 2 58234 2005
"2173" "Mönsterås" 1 13103 2005
"2174" "Mörbylånga" 0 13405 2005
"2175" "Nacka" 3 80247 2005
"2176" "Nora" 0 10472 2005
"2177" "Norberg" 0 5866 2005
"2178" "Nordanstig" 0 9847 2005
"2179" "Nordmaling" 0 7470 2005
"2180" "Norrköping" 2 124642 2005
"2181" "Norrtälje" 1 54596 2005
"2182" "Norsjö" 0 4466 2005
"2183" "Nybro" 0 19775 2005
"2184" "Nykvarn" 0 8354 2005
"2185" "Nyköping" 0 49816 2005
"2186" "Nynäshamn" 0 24648 2005
"2187" "Nässjö" 0 29314 2005
"2188" "Ockelbo" 0 6051 2005
"2189" "Olofström" 0 13391 2005
"2190" "Orsa" 0 7020 2005
"2191" "Orust" 0 15188 2005
"2192" "Osby" 0 12600 2005
"2193" "Oskarshamn" 0 26247 2005
"2194" "Ovanåker" 0 11873 2005
"2195" "Oxelösund" 0 11134 2005
"2196" "Pajala" 0 6798 2005
"2197" "Partille" 0 33543 2005
"2198" "Perstorp" 1 6886 2005
"2199" "Piteå" 3 40873 2005
"2200" "Ragunda" 0 5796 2005
"2201" "Robertsfors" 0 7066 2005
"2202" "Ronneby" 0 28358 2005
"2203" "Rättvik" 0 10886 2005
"2204" "Sala" 0 21446 2005
"2205" "Salem" 0 14334 2005
"2206" "Sandviken" 2 36690 2005
"2207" "Sigtuna" 0 36711 2005
"2208" "Simrishamn" 1 19425 2005
"2209" "Sjöbo" 0 17501 2005
"2210" "Skara" 0 18578 2005
"2211" "Skellefteå" 1 71910 2005
"2212" "Skinnskatteberg" 0 4761 2005
"2213" "Skurup" 0 14415 2005
"2214" "Skövde" 0 49980 2005
"2215" "Smedjebacken" 0 10812 2005
"2216" "Sollefteå" 0 20976 2005
"2217" "Sollentuna" 0 59355 2005
"2218" "Solna" 0 60575 2005
"2219" "Sorsele" 0 2905 2005
"2220" "Sotenäs" 0 9311 2005
"2221" "Staffanstorp" 0 20602 2005
"2222" "Stenungsund" 0 22947 2005
"2223" "Stockholm" 9 771038 2005
"2224" "Storfors" 0 4542 2005
"2225" "Storuman" 0 6507 2005
"2226" "Strängnäs" 0 30655 2005
"2227" "Strömstad" 0 11507 2005
"2228" "Strömsund" 0 12931 2005
"2229" "Sundbyberg" 0 34016 2005
"2230" "Sundsvall" 2 94044 2005
"2231" "Sunne" 0 13586 2005
"2232" "Surahammar" 0 10196 2005
"2233" "Svalöv" 0 13012 2005
"2234" "Svedala" 0 18716 2005
"2235" "Svenljunga" 0 10430 2005
"2236" "Säffle" 1 16080 2005
"2237" "Säter" 0 10989 2005
"2238" "Sävsjö" 1 10989 2005
"2239" "Söderhamn" 0 26506 2005
"2240" "Söderköping" 0 14025 2005
"2241" "Södertälje" 3 80553 2005
"2242" "Sölvesborg" 0 16558 2005
"2243" "Tanum" 0 12252 2005
"2244" "Tibro" 0 10581 2005
"2245" "Tidaholm" 0 12535 2005
"2246" "Tierp" 0 20056 2005
"2247" "Timrå" 1 17747 2005
"2248" "Tingsryd" 0 12793 2005
"2249" "Tjörn" 0 15022 2005
"2250" "Tomelilla" 0 12682 2005
"2251" "Torsby" 0 12960 2005
"2252" "Torsås" 0 7240 2005
"2253" "Tranemo" 0 11804 2005
"2254" "Tranås" 0 17765 2005
"2255" "Trelleborg" 2 39830 2005
"2256" "Trollhättan" 1 53302 2005
"2257" "Trosa" 0 10831 2005
"2258" "Tyresö" 1 41134 2005
"2259" "Täby" 0 60594 2005
"2260" "Töreboda" 0 9470 2005
"2261" "Uddevalla" 0 50314 2005
"2262" "Ulricehamn" 1 22381 2005
"2263" "Umeå" 2 110758 2005
"2264" "Upplands-Bro" 2 21327 2005
"2265" "Upplands Väsby" 1 37624 2005
"2266" "Uppsala" 12 183308 2005
"2267" "Uppvidinge" 1 9466 2005
"2268" "Vadstena" 0 7527 2005
"2269" "Vaggeryd" 0 12665 2005
"2270" "Valdemarsvik" 0 8122 2005
"2271" "Vallentuna" 1 27397 2005
"2272" "Vansbro" 0 7061 2005
"2273" "Vara" 1 16008 2005
"2274" "Varberg" 0 54817 2005
"2275" "Vaxholm" 0 10123 2005
"2276" "Vellinge" 0 31722 2005
"2277" "Vetlanda" 0 26459 2005
"2278" "Vilhelmina" 0 7327 2005
"2279" "Vimmerby" 0 15613 2005
"2280" "Vindeln" 0 5752 2005
"2281" "Vingåker" 0 9269 2005
"2282" "Vårgårda" 1 10756 2005
"2283" "Vänersborg" 0 36951 2005
"2284" "Vännäs" 0 8412 2005
"2285" "Värmdö" 0 34933 2005
"2286" "Värnamo" 1 32700 2005
"2287" "Västervik" 3 36505 2005
"2288" "Västerås" 0 131934 2005
"2289" "Växjö" 1 77363 2005
"2290" "Ydre" 0 3866 2005
"2291" "Ystad" 0 27120 2005
"2292" "Åmål" 0 12737 2005
"2293" "Ånge" 0 10692 2005
"2294" "Åre" 0 9966 2005
"2295" "Årjäng" 0 9800 2005
"2296" "Åsele" 0 3322 2005
"2297" "Åstorp" 0 13541 2005
"2298" "Åtvidaberg" 0 11723 2005
"2299" "Älmhult" 0 15346 2005
"2300" "Älvdalen" 0 7445 2005
"2301" "Älvkarleby" 0 9080 2005
"2302" "Älvsbyn" 0 8655 2005
"2303" "Ängelholm" 1 38347 2005
"2304" "Öckerö" 0 12231 2005
"2305" "Ödeshög" 1 5516 2005
"2306" "Örebro" 0 127733 2005
"2307" "Örkelljunga" 0 9553 2005
"2308" "Örnsköldsvik" 0 54943 2005
"2309" "Östersund" 1 58428 2005
"2310" "Österåker" 3 37336 2005
"2311" "Östhammar" 0 21608 2005
"2312" "Östra Göinge" 0 13991 2005
"2313" "Överkalix" 0 3872 2005
"2314" "Övertorneå" 0 5229 2005
"2315" "Ale" 2 26800 2006
"2316" "Alingsås" 1 36481 2006
"2317" "Alvesta" 0 18741 2006
"2318" "Aneby" 0 6551 2006
"2319" "Arboga" 0 13391 2006
"2320" "Arjeplog" 0 3151 2006
"2321" "Arvidsjaur" 0 6791 2006
"2322" "Arvika" 0 26131 2006
"2323" "Askersund" 0 11470 2006
"2324" "Avesta" 1 21963 2006
"2325" "Bengtsfors" 0 10080 2006
"2326" "Berg" 0 7592 2006
"2327" "Bjurholm" 0 2541 2006
"2328" "Bjuv" 0 14199 2006
"2329" "Boden" 0 28002 2006
"2330" "Bollebygd" 0 8179 2006
"2331" "Bollnäs" 0 26278 2006
"2332" "Borgholm" 0 10983 2006
"2333" "Borlänge" 1 47399 2006
"2334" "Borås" 10 100221 2006
"2335" "Botkyrka" 1 77553 2006
"2336" "Boxholm" 0 5226 2006
"2337" "Bromölla" 0 12145 2006
"2338" "Bräcke" 1 7202 2006
"2339" "Burlöv" 0 15662 2006
"2340" "Båstad" 0 14170 2006
"2341" "Dals-Ed" 0 4900 2006
"2342" "Danderyd" 0 30492 2006
"2343" "Degerfors" 0 10014 2006
"2344" "Dorotea" 0 3069 2006
"2345" "Eda" 0 8670 2006
"2346" "Ekerö" 0 24301 2006
"2347" "Eksjö" 1 16516 2006
"2348" "Emmaboda" 0 9436 2006
"2349" "Enköping" 1 38486 2006
"2350" "Eskilstuna" 8 92250 2006
"2351" "Eslöv" 1 30437 2006
"2352" "Essunga" 0 5651 2006
"2353" "Fagersta" 0 12202 2006
"2354" "Falkenberg" 0 39874 2006
"2355" "Falköping" 1 31240 2006
"2356" "Falun" 0 55267 2006
"2357" "Filipstad" 0 10952 2006
"2358" "Finspång" 0 20812 2006
"2359" "Flen" 0 16222 2006
"2360" "Forshaga" 0 11466 2006
"2361" "Färgelanda" 0 6779 2006
"2362" "Gagnef" 0 10080 2006
"2363" "Gislaved" 2 29327 2006
"2364" "Gnesta" 0 9981 2006
"2365" "Gnosjö" 0 9598 2006
"2366" "Gotland" 1 57297 2006
"2367" "Grums" 0 9332 2006
"2368" "Grästorp" 0 5809 2006
"2369" "Gullspång" 0 5506 2006
"2370" "Gällivare" 0 18959 2006
"2371" "Gävle" 4 92416 2006
"2372" "Göteborg" 48 489757 2006
"2373" "Götene" 0 12959 2006
"2374" "Habo" 0 10122 2006
"2375" "Hagfors" 0 13127 2006
"2376" "Hallsberg" 0 15287 2006
"2377" "Hallstahammar" 0 15042 2006
"2378" "Halmstad" 0 88958 2006
"2379" "Hammarö" 0 14489 2006
"2380" "Haninge" 2 72956 2006
"2381" "Haparanda" 0 10214 2006
"2382" "Heby" 0 13530 2006
"2383" "Hedemora" 1 15380 2006
"2384" "Helsingborg" 16 123389 2006
"2385" "Herrljunga" 0 9243 2006
"2386" "Hjo" 0 8853 2006
"2387" "Hofors" 0 10091 2006
"2388" "Huddinge" 0 90182 2006
"2389" "Hudiksvall" 0 36956 2006
"2390" "Hultsfred" 0 14306 2006
"2391" "Hylte" 0 10371 2006
"2392" "Håbo" 1 18637 2006
"2393" "Hällefors" 0 7539 2006
"2394" "Härjedalen" 0 10764 2006
"2395" "Härnösand" 2 25080 2006
"2396" "Härryda" 0 32395 2006
"2397" "Hässleholm" 1 49381 2006
"2398" "Höganäs" 0 23857 2006
"2399" "Högsby" 0 6033 2006
"2400" "Hörby" 0 14540 2006
"2401" "Höör" 0 14777 2006
"2402" "Jokkmokk" 0 5491 2006
"2403" "Järfälla" 6 62342 2006
"2404" "Jönköping" 5 122194 2006
"2405" "Kalix" 0 17396 2006
"2406" "Kalmar" 0 61321 2006
"2407" "Karlsborg" 0 6880 2006
"2408" "Karlshamn" 0 31179 2006
"2409" "Karlskoga" 0 30159 2006
"2410" "Karlskrona" 1 61844 2006
"2411" "Karlstad" 1 82878 2006
"2412" "Katrineholm" 0 32029 2006
"2413" "Kil" 1 11803 2006
"2414" "Kinda" 0 9918 2006
"2415" "Kiruna" 0 23258 2006
"2416" "Klippan" 1 16106 2006
"2417" "Knivsta" 0 13597 2006
"2418" "Kramfors" 0 19816 2006
"2419" "Kristianstad" 1 76540 2006
"2420" "Kristinehamn" 0 23848 2006
"2421" "Krokom" 0 14270 2006
"2422" "Kumla" 0 19643 2006
"2423" "Kungsbacka" 2 71044 2006
"2424" "Kungsör" 0 8211 2006
"2425" "Kungälv" 0 38899 2006
"2426" "Kävlinge" 0 27369 2006
"2427" "Köping" 2 24659 2006
"2428" "Laholm" 0 23153 2006
"2429" "Landskrona" 2 40018 2006
"2430" "Laxå" 0 6046 2006
"2431" "Lekeberg" 0 7096 2006
"2432" "Leksand" 0 15450 2006
"2433" "Lerum" 2 37092 2006
"2434" "Lessebo" 0 8099 2006
"2435" "Lidingö" 0 42321 2006
"2436" "Lidköping" 0 37526 2006
"2437" "Lilla Edet" 0 12836 2006
"2438" "Lindesberg" 0 23074 2006
"2439" "Linköping" 4 138580 2006
"2440" "Ljungby" 0 27121 2006
"2441" "Ljusdal" 0 19243 2006
"2442" "Ljusnarsberg" 0 5243 2006
"2443" "Lomma" 0 19434 2006
"2444" "Ludvika" 0 25477 2006
"2445" "Luleå" 5 73313 2006
"2446" "Lund" 3 103286 2006
"2447" "Lycksele" 0 12612 2006
"2448" "Lysekil" 0 14631 2006
"2449" "Malmö" 16 276244 2006
"2450" "Malung-Sälen" 0 10518 2006
"2451" "Malå" 0 3348 2006
"2452" "Mariestad" 0 23933 2006
"2453" "Mark" 1 33594 2006
"2454" "Markaryd" 0 9613 2006
"2455" "Mellerud" 0 9623 2006
"2456" "Mjölby" 1 25348 2006
"2457" "Mora" 0 20159 2006
"2458" "Motala" 0 41959 2006
"2459" "Mullsjö" 0 7075 2006
"2460" "Munkedal" 0 10246 2006
"2461" "Munkfors" 0 3936 2006
"2462" "Mölndal" 2 58938 2006
"2463" "Mönsterås" 0 13111 2006
"2464" "Mörbylånga" 0 13520 2006
"2465" "Nacka" 2 82421 2006
"2466" "Nora" 1 10482 2006
"2467" "Norberg" 0 5843 2006
"2468" "Nordanstig" 0 9810 2006
"2469" "Nordmaling" 0 7426 2006
"2470" "Norrköping" 1 125463 2006
"2471" "Norrtälje" 0 54836 2006
"2472" "Norsjö" 0 4437 2006
"2473" "Nybro" 0 19680 2006
"2474" "Nykvarn" 0 8609 2006
"2475" "Nyköping" 0 50191 2006
"2476" "Nynäshamn" 0 24992 2006
"2477" "Nässjö" 1 29369 2006
"2478" "Ockelbo" 0 6038 2006
"2479" "Olofström" 0 13355 2006
"2480" "Orsa" 0 7026 2006
"2481" "Orust" 0 15185 2006
"2482" "Osby" 0 12634 2006
"2483" "Oskarshamn" 0 26244 2006
"2484" "Ovanåker" 0 11816 2006
"2485" "Oxelösund" 0 11111 2006
"2486" "Pajala" 1 6688 2006
"2487" "Partille" 3 33614 2006
"2488" "Perstorp" 1 6898 2006
"2489" "Piteå" 0 40943 2006
"2490" "Ragunda" 0 5806 2006
"2491" "Robertsfors" 1 6996 2006
"2492" "Ronneby" 0 28443 2006
"2493" "Rättvik" 0 10884 2006
"2494" "Sala" 0 21360 2006
"2495" "Salem" 1 14715 2006
"2496" "Sandviken" 1 36748 2006
"2497" "Sigtuna" 2 36976 2006
"2498" "Simrishamn" 0 19418 2006
"2499" "Sjöbo" 3 17721 2006
"2500" "Skara" 0 18595 2006
"2501" "Skellefteå" 1 71966 2006
"2502" "Skinnskatteberg" 0 4752 2006
"2503" "Skurup" 0 14703 2006
"2504" "Skövde" 0 50153 2006
"2505" "Smedjebacken" 1 10715 2006
"2506" "Sollefteå" 1 20849 2006
"2507" "Sollentuna" 2 60528 2006
"2508" "Solna" 0 61717 2006
"2509" "Sorsele" 0 2867 2006
"2510" "Sotenäs" 0 9283 2006
"2511" "Staffanstorp" 0 20840 2006
"2512" "Stenungsund" 0 23190 2006
"2513" "Stockholm" 26 782885 2006
"2514" "Storfors" 0 4526 2006
"2515" "Storuman" 0 6432 2006
"2516" "Strängnäs" 1 31152 2006
"2517" "Strömstad" 0 11569 2006
"2518" "Strömsund" 0 12782 2006
"2519" "Sundbyberg" 0 34529 2006
"2520" "Sundsvall" 0 94516 2006
"2521" "Sunne" 1 13591 2006
"2522" "Surahammar" 0 10109 2006
"2523" "Svalöv" 0 13055 2006
"2524" "Svedala" 1 18988 2006
"2525" "Svenljunga" 0 10405 2006
"2526" "Säffle" 1 15973 2006
"2527" "Säter" 1 10991 2006
"2528" "Sävsjö" 0 10985 2006
"2529" "Söderhamn" 0 26257 2006
"2530" "Söderköping" 1 14051 2006
"2531" "Södertälje" 2 81791 2006
"2532" "Sölvesborg" 0 16615 2006
"2533" "Tanum" 0 12253 2006
"2534" "Tibro" 0 10671 2006
"2535" "Tidaholm" 0 12653 2006
"2536" "Tierp" 1 19943 2006
"2537" "Timrå" 0 17870 2006
"2538" "Tingsryd" 0 12712 2006
"2539" "Tjörn" 0 14954 2006
"2540" "Tomelilla" 0 12719 2006
"2541" "Torsby" 0 12946 2006
"2542" "Torsås" 0 7154 2006
"2543" "Tranemo" 0 11742 2006
"2544" "Tranås" 0 17765 2006
"2545" "Trelleborg" 0 40320 2006
"2546" "Trollhättan" 1 53830 2006
"2547" "Trosa" 0 10951 2006
"2548" "Tyresö" 0 41476 2006
"2549" "Täby" 0 61006 2006
"2550" "Töreboda" 0 9368 2006
"2551" "Uddevalla" 0 50507 2006
"2552" "Ulricehamn" 1 22436 2006
"2553" "Umeå" 2 111235 2006
"2554" "Upplands-Bro" 1 21638 2006
"2555" "Upplands Väsby" 0 37848 2006
"2556" "Uppsala" 4 185187 2006
"2557" "Uppvidinge" 0 9508 2006
"2558" "Vadstena" 0 7541 2006
"2559" "Vaggeryd" 0 12816 2006
"2560" "Valdemarsvik" 0 8038 2006
"2561" "Vallentuna" 3 27868 2006
"2562" "Vansbro" 0 6983 2006
"2563" "Vara" 0 15961 2006
"2564" "Varberg" 0 55459 2006
"2565" "Vaxholm" 0 10440 2006
"2566" "Vellinge" 0 32270 2006
"2567" "Vetlanda" 0 26380 2006
"2568" "Vilhelmina" 0 7280 2006
"2569" "Vimmerby" 0 15588 2006
"2570" "Vindeln" 0 5665 2006
"2571" "Vingåker" 0 9212 2006
"2572" "Vårgårda" 0 10896 2006
"2573" "Vänersborg" 1 37023 2006
"2574" "Vännäs" 1 8436 2006
"2575" "Värmdö" 0 35803 2006
"2576" "Värnamo" 1 32841 2006
"2577" "Västervik" 1 36400 2006
"2578" "Västerås" 5 132920 2006
"2579" "Växjö" 3 78473 2006
"2580" "Ydre" 0 3822 2006
"2581" "Ystad" 1 27398 2006
"2582" "Åmål" 0 12716 2006
"2583" "Ånge" 0 10604 2006
"2584" "Åre" 0 10021 2006
"2585" "Årjäng" 0 9821 2006
"2586" "Åsele" 0 3271 2006
"2587" "Åstorp" 1 13885 2006
"2588" "Åtvidaberg" 0 11775 2006
"2589" "Älmhult" 1 15368 2006
"2590" "Älvdalen" 1 7419 2006
"2591" "Älvkarleby" 0 9110 2006
"2592" "Älvsbyn" 0 8653 2006
"2593" "Ängelholm" 0 38682 2006
"2594" "Öckerö" 0 12229 2006
"2595" "Ödeshög" 0 5433 2006
"2596" "Örebro" 5 128977 2006
"2597" "Örkelljunga" 0 9529 2006
"2598" "Örnsköldsvik" 0 55243 2006
"2599" "Östersund" 1 58583 2006
"2600" "Österåker" 2 37879 2006
"2601" "Östhammar" 0 21435 2006
"2602" "Östra Göinge" 0 13886 2006
"2603" "Överkalix" 0 3859 2006
"2604" "Övertorneå" 0 5168 2006
"2605" "Ale" 1 27092 2007
"2606" "Alingsås" 1 36739 2007
"2607" "Alvesta" 0 18776 2007
"2608" "Aneby" 0 6506 2007
"2609" "Arboga" 0 13369 2007
"2610" "Arjeplog" 0 3089 2007
"2611" "Arvidsjaur" 0 6751 2007
"2612" "Arvika" 0 26250 2007
"2613" "Askersund" 0 11394 2007
"2614" "Avesta" 0 21886 2007
"2615" "Bengtsfors" 0 9957 2007
"2616" "Berg" 0 7586 2007
"2617" "Bjurholm" 0 2549 2007
"2618" "Bjuv" 0 14470 2007
"2619" "Boden" 1 27838 2007
"2620" "Bollebygd" 0 8193 2007
"2621" "Bollnäs" 0 26217 2007
"2622" "Borgholm" 0 10933 2007
"2623" "Borlänge" 0 47756 2007
"2624" "Borås" 3 100985 2007
"2625" "Botkyrka" 0 79031 2007
"2626" "Boxholm" 0 5223 2007
"2627" "Bromölla" 0 12181 2007
"2628" "Bräcke" 0 7109 2007
"2629" "Burlöv" 0 15952 2007
"2630" "Båstad" 0 14242 2007
"2631" "Dals-Ed" 0 4835 2007
"2632" "Danderyd" 0 30789 2007
"2633" "Degerfors" 0 9903 2007
"2634" "Dorotea" 0 2993 2007
"2635" "Eda" 0 8649 2007
"2636" "Ekerö" 0 24687 2007
"2637" "Eksjö" 1 16435 2007
"2638" "Emmaboda" 0 9383 2007
"2639" "Enköping" 1 38768 2007
"2640" "Eskilstuna" 5 93343 2007
"2641" "Eslöv" 0 30775 2007
"2642" "Essunga" 0 5638 2007
"2643" "Fagersta" 0 12183 2007
"2644" "Falkenberg" 1 40164 2007
"2645" "Falköping" 0 31311 2007
"2646" "Falun" 0 55220 2007
"2647" "Filipstad" 0 10782 2007
"2648" "Finspång" 1 20703 2007
"2649" "Flen" 0 16191 2007
"2650" "Forshaga" 0 11444 2007
"2651" "Färgelanda" 0 6770 2007
"2652" "Gagnef" 0 10111 2007
"2653" "Gislaved" 0 29330 2007
"2654" "Gnesta" 0 10031 2007
"2655" "Gnosjö" 0 9657 2007
"2656" "Gotland" 0 57122 2007
"2657" "Grums" 0 9302 2007
"2658" "Grästorp" 0 5831 2007
"2659" "Gullspång" 0 5425 2007
"2660" "Gällivare" 1 18860 2007
"2661" "Gävle" 1 92681 2007
"2662" "Göteborg" 28 493502 2007
"2663" "Götene" 0 13056 2007
"2664" "Habo" 0 10375 2007
"2665" "Hagfors" 0 12993 2007
"2666" "Hallsberg" 1 15268 2007
"2667" "Hallstahammar" 0 15040 2007
"2668" "Halmstad" 0 89727 2007
"2669" "Hammarö" 0 14547 2007
"2670" "Haninge" 1 73698 2007
"2671" "Haparanda" 0 10192 2007
"2672" "Heby" 0 13492 2007
"2673" "Hedemora" 0 15301 2007
"2674" "Helsingborg" 12 124986 2007
"2675" "Herrljunga" 2 9304 2007
"2676" "Hjo" 0 8809 2007
"2677" "Hofors" 0 10039 2007
"2678" "Huddinge" 0 91827 2007
"2679" "Hudiksvall" 0 36927 2007
"2680" "Hultsfred" 0 14196 2007
"2681" "Hylte" 0 10257 2007
"2682" "Håbo" 0 18931 2007
"2683" "Hällefors" 0 7475 2007
"2684" "Härjedalen" 0 10699 2007
"2685" "Härnösand" 2 24922 2007
"2686" "Härryda" 0 32969 2007
"2687" "Hässleholm" 1 49780 2007
"2688" "Höganäs" 1 24065 2007
"2689" "Högsby" 0 5931 2007
"2690" "Hörby" 0 14584 2007
"2691" "Höör" 0 14924 2007
"2692" "Jokkmokk" 0 5406 2007
"2693" "Järfälla" 0 63427 2007
"2694" "Jönköping" 8 123709 2007
"2695" "Kalix" 1 17283 2007
"2696" "Kalmar" 1 61533 2007
"2697" "Karlsborg" 0 6850 2007
"2698" "Karlshamn" 0 31052 2007
"2699" "Karlskoga" 0 29988 2007
"2700" "Karlskrona" 1 62338 2007
"2701" "Karlstad" 0 83641 2007
"2702" "Katrineholm" 3 32162 2007
"2703" "Kil" 0 11748 2007
"2704" "Kinda" 0 9947 2007
"2705" "Kiruna" 0 23122 2007
"2706" "Klippan" 0 16254 2007
"2707" "Knivsta" 0 13954 2007
"2708" "Kramfors" 0 19663 2007
"2709" "Kristianstad" 0 77245 2007
"2710" "Kristinehamn" 0 23906 2007
"2711" "Krokom" 0 14304 2007
"2712" "Kumla" 1 19852 2007
"2713" "Kungsbacka" 2 71942 2007
"2714" "Kungsör" 0 8219 2007
"2715" "Kungälv" 6 39649 2007
"2716" "Kävlinge" 1 27746 2007
"2717" "Köping" 2 24646 2007
"2718" "Laholm" 0 23189 2007
"2719" "Landskrona" 0 40419 2007
"2720" "Laxå" 0 5922 2007
"2721" "Lekeberg" 0 7097 2007
"2722" "Leksand" 0 15338 2007
"2723" "Lerum" 4 37711 2007
"2724" "Lessebo" 0 8070 2007
"2725" "Lidingö" 1 42710 2007
"2726" "Lidköping" 1 37773 2007
"2727" "Lilla Edet" 0 12835 2007
"2728" "Lindesberg" 1 23104 2007
"2729" "Linköping" 4 140367 2007
"2730" "Ljungby" 0 27276 2007
"2731" "Ljusdal" 0 19175 2007
"2732" "Ljusnarsberg" 0 5188 2007
"2733" "Lomma" 0 20023 2007
"2734" "Ludvika" 0 25425 2007
"2735" "Luleå" 2 73146 2007
"2736" "Lund" 4 105286 2007
"2737" "Lycksele" 0 12503 2007
"2738" "Lysekil" 1 14633 2007
"2739" "Malmö" 15 280801 2007
"2740" "Malung-Sälen" 0 10428 2007
"2741" "Malå" 0 3338 2007
"2742" "Mariestad" 0 23871 2007
"2743" "Mark" 0 33729 2007
"2744" "Markaryd" 0 9641 2007
"2745" "Mellerud" 0 9553 2007
"2746" "Mjölby" 0 25535 2007
"2747" "Mora" 0 20143 2007
"2748" "Motala" 0 42060 2007
"2749" "Mullsjö" 0 7046 2007
"2750" "Munkedal" 0 10256 2007
"2751" "Munkfors" 0 3880 2007
"2752" "Mölndal" 0 59430 2007
"2753" "Mönsterås" 0 13114 2007
"2754" "Mörbylånga" 0 13608 2007
"2755" "Nacka" 1 84303 2007
"2756" "Nora" 0 10447 2007
"2757" "Norberg" 0 5788 2007
"2758" "Nordanstig" 0 9813 2007
"2759" "Nordmaling" 0 7390 2007
"2760" "Norrköping" 0 126680 2007
"2761" "Norrtälje" 2 55225 2007
"2762" "Norsjö" 0 4380 2007
"2763" "Nybro" 0 19643 2007
"2764" "Nykvarn" 0 8926 2007
"2765" "Nyköping" 0 50760 2007
"2766" "Nynäshamn" 0 25353 2007
"2767" "Nässjö" 0 29461 2007
"2768" "Ockelbo" 0 5985 2007
"2769" "Olofström" 0 13198 2007
"2770" "Orsa" 0 7091 2007
"2771" "Orust" 0 15373 2007
"2772" "Osby" 0 12623 2007
"2773" "Oskarshamn" 0 26294 2007
"2774" "Ovanåker" 0 11795 2007
"2775" "Oxelösund" 0 11148 2007
"2776" "Pajala" 0 6522 2007
"2777" "Partille" 3 33699 2007
"2778" "Perstorp" 0 6930 2007
"2779" "Piteå" 0 40961 2007
"2780" "Ragunda" 0 5747 2007
"2781" "Robertsfors" 0 6909 2007
"2782" "Ronneby" 0 28491 2007
"2783" "Rättvik" 0 10883 2007
"2784" "Sala" 1 21412 2007
"2785" "Salem" 0 15065 2007
"2786" "Sandviken" 0 36804 2007
"2787" "Sigtuna" 1 37793 2007
"2788" "Simrishamn" 0 19306 2007
"2789" "Sjöbo" 0 18015 2007
"2790" "Skara" 0 18544 2007
"2791" "Skellefteå" 1 72090 2007
"2792" "Skinnskatteberg" 0 4686 2007
"2793" "Skurup" 1 14788 2007
"2794" "Skövde" 1 50197 2007
"2795" "Smedjebacken" 0 10715 2007
"2796" "Sollefteå" 0 20679 2007
"2797" "Sollentuna" 1 61387 2007
"2798" "Solna" 0 63318 2007
"2799" "Sorsele" 0 2811 2007
"2800" "Sotenäs" 0 9280 2007
"2801" "Staffanstorp" 0 21208 2007
"2802" "Stenungsund" 0 23389 2007
"2803" "Stockholm" 15 795163 2007
"2804" "Storfors" 0 4495 2007
"2805" "Storuman" 0 6383 2007
"2806" "Strängnäs" 0 31435 2007
"2807" "Strömstad" 2 11558 2007
"2808" "Strömsund" 0 12679 2007
"2809" "Sundbyberg" 0 35078 2007
"2810" "Sundsvall" 2 94575 2007
"2811" "Sunne" 0 13566 2007
"2812" "Surahammar" 0 10122 2007
"2813" "Svalöv" 0 13143 2007
"2814" "Svedala" 1 19149 2007
"2815" "Svenljunga" 0 10431 2007
"2816" "Säffle" 0 15868 2007
"2817" "Säter" 0 11000 2007
"2818" "Sävsjö" 0 10937 2007
"2819" "Söderhamn" 0 26120 2007
"2820" "Söderköping" 1 14020 2007
"2821" "Södertälje" 1 83642 2007
"2822" "Sölvesborg" 1 16821 2007
"2823" "Tanum" 0 12246 2007
"2824" "Tibro" 0 10611 2007
"2825" "Tidaholm" 0 12651 2007
"2826" "Tierp" 1 20068 2007
"2827" "Timrå" 0 17884 2007
"2828" "Tingsryd" 0 12600 2007
"2829" "Tjörn" 0 14944 2007
"2830" "Tomelilla" 3 12772 2007
"2831" "Torsby" 0 12878 2007
"2832" "Torsås" 0 7133 2007
"2833" "Tranemo" 0 11750 2007
"2834" "Tranås" 0 17920 2007
"2835" "Trelleborg" 0 41019 2007
"2836" "Trollhättan" 1 54300 2007
