code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
1286,Ystad,201215,9.3,12.8,6.6,6.9,0.300000000000001,744,2.7,37.2,435,81.5,NA,NA,NA,10.3,12.7,6.8,55.429505,13.820031,28623,25.6,Municipalities in densely populated regions,Rural,7.1,161,Conservative,33,92,511.756279914754,34.6923802536422,40.4220382210111,0.524054082381302
1489,Alingsås,206737,9.4,8.8,7.4,6.3,-1.1,862,3.7,39.2,653,77.7,42,57,51,11.9,10.4,9,57.930021,12.536211,38619,21.2,Commuter municipalities,Rural,16.9,160,Conservative,48,173,476.941401900619,38.452575157306,39.6695926875372,1.34648748025583
1496,Skövde,208335,9.9,8.9,8.4,7.3,-1.1,1022,4.4,39,398,85.2,42,59,50,15.5,9.6,6.7,58.390278,13.846121,52859,18.7,Larger towns,Town,17.5,201.1,Conservative,42,55,516.581849826898,40.4850640382905,39.6148243440095,0.870239694281012
0761,Lessebo,187284,12.7,18.1,11,12.2,1.2,844,-0.3,26.7,3312,87.3,36,50,61,20.3,13.5,14.9,56.751264,15.270001,8059,23.6,Commuter municipalities,Rural,69.9,146.7,Left-wing,225,248,482.938329817595,29.0358605286016,39.4589899491252,0.86859411837697
2581,Piteå,201540,13.5,10.9,9.1,7.5,-1.6,584,0.9,34.1,565,82.2,41,59,43,5.7,9.7,7.1,65.316698,21.480036,41278,21.8,Municipalities in sparsely populated regions,Rural,5.3,190,Left-wing,69,213,571.466640825621,31.6149038228596,39.2460875042395,137.652018024129
2181,Sandviken,197346,15.5,15.4,11.1,11,-0.0999999999999996,789,1,30.1,847,85.3,37,51,44,14.4,9.3,10.6,60.621607,16.775918,37250,23.5,Manufacturing municipalities,Rural,41.9,171.9,Mixed,150,268,524.563758389262,44.3221476510067,38.1208053691275,33.8523489932886
2080,Falun,204517,8.8,7,7.6,6.4,-1.2,884,2.7,42,369,82.8,NA,NA,NA,10.5,11.5,7.9,60.60646,15.6355,56767,20.4,Larger towns,Town,13.8,196.9,Mixed,57,191,512.339915796149,36.6057744816531,37.662726584107,33.8224672785245
1277,Åstorp,175831,10.1,9.2,9.6,8.9,-0.699999999999999,744,-2.5,28.6,1540,79,NA,NA,NA,12.7,9.5,15.2,56.134262,12.945908,12229,26.2,Suburbs to larger towns,City,18.7,154.7,Mixed,149,131,613.623354321694,43.3396025840216,37.533731294464,0.327091340256767
1415,Stenungsund,227264,5.8,6.1,4.9,3.8,-1.1,634,5.4,38.1,496,73.7,39,55,49,11,9.1,8.2,58.067839,11.829435,24932,18.6,Commuter municipalities,Rural,8.4,110.3,Conservative,59,66,528.036258623456,37.0608053906626,37.0206962939195,2.04556393390021
1482,Kungälv,224289,5.7,4,4.7,3.5,-1.2,568,4.6,38.3,312,68.9,NA,NA,NA,10.2,9.8,8.9,57.869754,11.974032,42109,19.9,Suburbs to cities,City,4.3,101.2,Conservative,28,182,520.648792419673,36.7617373958061,35.8830653779477,1.21114251110214
2523,Gällivare,214445,9.8,9.4,7.2,6.7,-0.5,971,-1.9,26.3,79,85.3,33,46,42,8.8,9.6,10,67.1379,20.659362,18339,23.8,Manufacturing municipalities,Rural,10.5,204.1,Left-wing,129,233,609.956922405802,25.0286275151317,35.7162331642947,237.581111292873
1485,Uddevalla,197137,12.8,10.7,9,7.6,-1.4,879,3.6,35.7,502,76.7,NA,NA,NA,16.2,13.6,9,58.3498,11.935649,53025,20.8,Larger towns,Town,18.6,185.5,Conservative,40,171,491.636020744932,31.4191419141914,35.6435643564356,1.13154172560113
